id,firstname,lastname,university,university_shortname,university_city,functions,organization,organization_sector
50,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,Gutachterin,"Marie Heim-Vögtlin-Programm des Schweizerischen Nationalfonds, Abteilung Geistes- und Sozialwissenschaften",Education & research
51,Andrea,Back,Uni St. Gallen,USG,Saint Gallen,Wissenschaftliche Beirätin,Leibniz-Informationszentrum Wirtschaft,Education & research
52,Andrea,Rinaldo,ETH Lausanne,EPF,Lausanne,Board Member,Federazione italiana Rubgy (IT),"Society, Social, Culture & Sports"
53,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,Membre Board of Trustees & research center’s scientific advisory board,"IMDEA-Materials, Madrid, Espagne",Education & research
54,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,"Membre (nommé par l'EPFL), Conseil de Fondation",FNS de la Recherche Scientifique,Education & research
55,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,Member International Scientific Advisory Board (ISAB) of the COMET K2 Center,"Materials Center Leoben Forschung, Austria",Education & research
56,Andreas,Härter,Uni St. Gallen,USG,Saint Gallen,Co-Präsident,Schweizerische Gesellschaft für Theaterkultur,"Society, Social, Culture & Sports"
57,Andreas,Pautz,ETH Lausanne,EPF,Lausanne,Member of review panel of a Helmoltz Program,"Helmholtz Society of German Research Centers, Berlin",Education & research
58,Andreas,Kotte,Uni Bern,UBE,Bern,NA,Schweizerische Theatersammlung,"Society, Social, Culture & Sports"
59,Andreas,Papassotiropoulos,Uni Basel,UBA,Basel,Mitglied des Verwaltungsrates,"GeneGuide AG, Basel",Technology
60,Andreas,Kotte,Uni Bern,UBE,Bern,NA,Seniorenuniversität Bern,Education & research
61,Andreas,Lienhard,Uni Bern,UBE,Bern,Vizepräsident des Verwaltungsrates,VR Verkehrsbetriebe Biel,"Energy, environment & mobility"
62,Andreas,Burg,ETH Lausanne,EPF,Lausanne,Technical consulting,"ACP Advanced Circuit Pursuit AG, Zürich","Industry, construction & agriculture"
63,Andreas,Grüner,Uni St. Gallen,USG,Saint Gallen,Gutachter,Akkreditierungsagentur FIBAA,"Politics, administration, justice system & security sector"
64,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,proposés référés,"NSF, USA",Education & research
65,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,proposés référés,"EPSRC, UK",Education & research
66,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,"Membre, Wissenschaftlicher Beirat","Leibniz Institute INM, Saarbrücken, Allemagne",Education & research
67,Andreas,Ladner,Uni Bern,UBE,Bern,NA,Activités académiques,Education & research
68,Andreas,Züttel,ETH Lausanne,EPF,Lausanne,Cours en science de l'environnement,Université de Fribourg,Education & research
69,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,Membre du conseil de fondation,Fondation Zeno Karl Schindler,Education & research
70,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,"Membre de la commission de sélection des SNSF, Starting Grants 2014",Fonds National Suisse,Education & research
71,Andreas,Mortensen,ETH Lausanne,EPF,Lausanne,Membre de la commission d'accréditation d'institution de DTU,"DTU, Institution d'accréditation du Danemark",Education & research
72,Andreas,Meier,Uni Freiburg,UFR,Fribourg,Geschäftsführer,eTorrent GmbH,Technology
73,Andreas,Härter,Uni St. Gallen,USG,Saint Gallen,Mitglied des Verwaltungsrats,Konzert und Theater St. Gallen,"Society, Social, Culture & Sports"
74,Andreas,Züttel,ETH Lausanne,EPF,Lausanne,Membre du conseil,"H2 Energy, Zürich","Energy, environment & mobility"
75,Andreas,Beyer,Uni Basel,UBA,Basel,Vorsitzender wissenschaftlicher Beirat,Gerda Henkel-Stiftung,Education & research
76,Andreas,Beyer,Uni Basel,UBA,Basel,Sprecher des Forschugnsverbunds Bilderfahrzeuge - Aby Warbug's Legacy and the Future of Iconology,Bundesministerium für Bildung und Forschung,"Politics, administration, justice system & security sector"
77,Andreas,Beyer,Uni Basel,UBA,Basel,Präsident der wissenschaftlichen Kommission,Schweizerisches Institut für Kunstwissenschaft,Education & research
78,Andreas,Meier,Uni Freiburg,UFR,Fribourg,Stiftungsrat,Stiftung Rechenzentrum für Krankenversicherung,Pharma & health
79,Andreas,Beyer,Uni Basel,UBA,Basel,Mitglied des Auswahlausschusses,Alexander von Humboldt Stiftung,Education & research
80,Andreas,Meier,Uni Freiburg,UFR,Fribourg,Verwaltungsrat,Centris AG,Technology
81,André,Holenstein,Uni Bern,UBE,Bern,NA,"Universität Bern, Forschungsstiftung",Education & research
82,André,Holenstein,Uni Bern,UBE,Bern,NA,Stiftung Schloss Spiez,"Society, Social, Culture & Sports"
83,André,Holenstein,Uni Bern,UBE,Bern,NA,Albrecht-von-Haller-Stiftung der Burgergemeinde Bern,Education & research
84,André,Schneider,Uni Neuenburg,UNE,Neuchâtel,NA,"Universität Bern, Forschungsstiftung",Education & research
85,André,Berchtold,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
86,André-Gilles,Dumont,ETH Lausanne,EPF,Lausanne,Conseil d'administration,"Infralab SA Romanel, Lausanne","Commerce, trade & services"
87,Anna,Fontcuberta Morral,ETH Lausanne,EPF,Lausanne,Expertise de projet,Fonds de Recherche Luxembourg,Education & research
88,Anna,Fontcuberta Morral,ETH Lausanne,EPF,Lausanne,Expertise de projet,Science Foundation Ireland,Education & research
89,Anna,Fontcuberta Morral,ETH Lausanne,EPF,Lausanne,Expertise de projet,"Stifelsen Strtegisk Froskning, Sweden",Education & research
90,Anna,Lauber-Biason,Uni Freiburg,UFR,Fribourg,Oberassistentin an der Abteilung für Endokrinologie und Diabetologie,Universitätskinderklinik Zürich,Pharma & health
91,Anna,Ebers,Uni St. Gallen,USG,Saint Gallen,Gründerin und Projektleiterin,Gemeinnützliches Projekt für erneuerbare Energien SunRaisers,"Energy, environment & mobility"
92,Anna,Fontcuberta Morral,ETH Lausanne,EPF,Lausanne,Expertise de projet,Université Freiburg (Allemagne),Education & research
93,Anna,Fontcuberta Morral,ETH Lausanne,EPF,Lausanne,Participation au conseil scientifique,"CSEM, Neuchâtel",Education & research
94,Anna,Ebers,Uni St. Gallen,USG,Saint Gallen,Mitgründerin,oikos Konstanz,Education & research
95,Anne-Christine,Favre,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
96,Anthony,Strittmatter,Uni St. Gallen,USG,Saint Gallen,Affiliated,Albert-Ludwigs-University,Education & research
97,Anthony C.,Davison,ETH Lausanne,EPF,Lausanne,Consultancy on statistical analysis of accidents in French motorway tunnels,"BG Consulting, Lausanne","Consulting, public relations, legal & trust"
98,Anthony C.,Davison,ETH Lausanne,EPF,Lausanne,"Editor, Biometrika (editor of a major statistics journal)","Biometrika Trust, University College London",Media & communication
99,Antoinette,Weibel,Uni St. Gallen,USG,Saint Gallen,Präsidentin,"FINT, First international Network of Trust Research",Education & research
100,Antoinette,Weibel,Uni St. Gallen,USG,Saint Gallen,Stiftungsratmitglied,Schweizerische Gesellschaft für Organisation,Education & research
101,Antoinette,Weibel,Uni St. Gallen,USG,Saint Gallen,Beiratsmitglied,Deutsches Forschungsinstitutes für öffentliche Verwaltung,Education & research
102,Antoinette,Weibel,Uni St. Gallen,USG,Saint Gallen,Beiratsmitglied,Schweizerische Vereinigung für Führungsausbildung,"Commerce, trade & services"
103,Antoinette,Weibel,Uni St. Gallen,USG,Saint Gallen,Beiratsmitglied,Trust Management Institut e.V.,"Consulting, public relations, legal & trust"
104,Antoinette,Weibel,Uni St. Gallen,USG,Saint Gallen,Geschäftsführerin,BTiO GmbH,"Consulting, public relations, legal & trust"
105,Anton,Schleiss,ETH Lausanne,EPF,Lausanne,Prüfung Bauvorhaben Linth 2015,"Basler & Hofmann, Esslingen","Commerce, trade & services"
106,Anton,Schleiss,ETH Lausanne,EPF,Lausanne,Schiedsgericht Nant de Dranse,"Nant de Dranse SA, Martigny","Commerce, trade & services"
107,Anton,Schleiss,ETH Lausanne,EPF,Lausanne,"Panel of experts, Haraz Dam & HPP","Mahab Ghoods, Theran, Iran","Consulting, public relations, legal & trust"
108,Anton,Schleiss,ETH Lausanne,EPF,Lausanne,"Expertise Druckstollen, Xe-Pian Xe-Namnoy, Laos","SK Engineering & Constructions, South Korea","Commerce, trade & services"
109,Anton,Schleiss,ETH Lausanne,EPF,Lausanne,"Beratung, Wasserkraftwerk Chippis VS","FMV SA, Sion","Energy, environment & mobility"
110,Anton,Schleiss,ETH Lausanne,EPF,Lausanne,"Beratung, vidange de fonds - surélévation du barrage Cambambe, Angola","Stucky SA, Renens","Commerce, trade & services"
111,Anton F.H.,Bierl,Uni Basel,UBA,Basel,Mitglied des Stiftungsrates,Vischer-Heusler Stiftung,Not classifiable
112,Antonio,Loprieno,Uni Basel,UBA,Basel,Mitglied des Universitätsrates,Universität Tübingen,Education & research
113,Antonio,Loprieno,Uni Basel,UBA,Basel,Vorstandsmitglied,Konfuzius Institut,Education & research
114,Antonio,Lanzavecchia,ETH Zürich,ETH,Zurich,Geschäftsführer,Humabs Holding GmbH,Pharma & health
115,Antonio,Loprieno,Uni Basel,UBA,Basel,Mitglied des Hochschulrates,Pädagogische Hochschule Freiburg,Education & research
116,Antonio,Loprieno,Uni Basel,UBA,Basel,Mitglied des Universitätsrates,Universitä della Svizzera Italiana,Education & research
117,Antonio,Loprieno,Uni Basel,UBA,Basel,Präsident des Stiftungsrates,Schweizerische Studienstiftung,Education & research
118,Arjen,Lenstra,ETH Lausanne,EPF,Lausanne,Advisor of crypto group,"OWI, Amsterdam",Not classifiable
119,Arno,Schlüter,ETH Zürich,ETH,Zurich,Mitglied des Nachhaltigkeitsbeirats,Herzog Kull Group,"Consulting, public relations, legal & trust"
120,Arno,Schlüter,ETH Zürich,ETH,Zurich,VR-Mandat,keoto AG,"Industry, construction & agriculture"
121,Artur,Baldauf,Uni Bern,UBE,Bern,NA,International School of Bern,Education & research
122,Artur,Baldauf,Uni Bern,UBE,Bern,NA,Securitas AG,"Politics, administration, justice system & security sector"
123,Astrid,Epiney,Uni Freiburg,UFR,Fribourg,Präsidentin,Schweizer Wissenschafts- und Innovationsrat,Education & research
124,Aude,Billard,ETH Lausanne,EPF,Lausanne,Présidente,Association Amies et Amis de la Fondation EPFL-WISH,Education & research
125,Aurelio,Bay,ETH Lausanne,EPF,Lausanne,Présidence du Jury des examens du GYB,"GYB Gymnase Intercantonal de la Broye, Payerne",Education & research
126,Aurelio,Muttoni,ETH Lausanne,EPF,Lausanne,Membre du conseil d'administration et employé (taux d'activité 10%),"Muttoni et Fernàndez Ingénieurs Conseils SA, Ecublens","Commerce, trade & services"
127,Aurelio,Muttoni,ETH Lausanne,EPF,Lausanne,Membre du Conseil d'administration et employé (taux d'activité 10%),"Lurati Muttoni Partner, Studio d'ingegneria SA, Mendrisio","Commerce, trade & services"
128,Aurelio,Muttoni,ETH Lausanne,EPF,Lausanne,Membre du conseil de fondation,"CEB Trust Fund, Genève",Education & research
129,Aurelio,Muttoni,ETH Lausanne,EPF,Lausanne,Membre du Présidium,"Fédération Internationale du Béton, Lausanne","Commerce, trade & services"
130,Aymo,Brunetti,Uni Basel,UBA,Basel,NA,Fachhochschule Kalaidos,Education & research
131,Bart,Deplancke,ETH Lausanne,EPF,Lausanne,Board Member,"GeNohm SA, EPFL Innovation Park, Lausanne",Technology
132,Basile,Cardinaux,Uni Freiburg,UFR,Fribourg,Vorstand,Pensionskasse des Staatspersonals Freiburg,Financial industry & insurances
133,Basile,Cardinaux,Uni Freiburg,UFR,Fribourg,Anwalt,Selbstständig,Not classifiable
134,Beatrix,Eugster,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Raiffeisen Diepoldsau-Schmitter,Financial industry & insurances
135,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Offizier Recht und Konventionen,"Schweizerische Armee, Armeestab","Politics, administration, justice system & security sector"
136,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Mitglied des Kuratoriums des Universitätspfarramts,Evangelisch-reformierte Kirche des Kantons St. Gallen,"Society, Social, Culture & Sports"
137,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Ersatzrichter,"Staatsgerichtshof, Fürstentum Liechtenstein","Politics, administration, justice system & security sector"
138,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Ersatzmitglied der Rekurskommission,Evangelisch-reformierte Landeskirche beider Appenzell,"Society, Social, Culture & Sports"
139,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Vorstandsmitglied,St. Galler Juristenverein,"Commerce, trade & services"
140,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Vorstandsmitglied,Schweizerischer Juristenverein,"Commerce, trade & services"
141,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Vizepräsident des Stiftungsrats,Peter Häberle-Stiftung an der Universität St. Gallen,Education & research
142,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Vierzehner,Zunft zur Meisen (Zürich),"Commerce, trade & services"
143,Benjamin,Schindler,Uni St. Gallen,USG,Saint Gallen,Mitglied Kommission für Planung und Gemeindeentwicklung,Gemeinde Speicher AR,"Politics, administration, justice system & security sector"
144,Benoît,Deveaud,ETH Lausanne,EPF,Lausanne,Membre du comité de Fondation,"Fondation Adrian et Simone Frutiger, Berne",Pharma & health
145,Benoît,Deveaud,ETH Lausanne,EPF,Lausanne,Assesseur à la Commission de Conciliation en matière de baux,Préfecture de Lausanne,"Politics, administration, justice system & security sector"
146,Berend,Smit,ETH Lausanne,EPF,Lausanne,Teaching and Research,"University of California, Berkeley",Education & research
147,Berend,Smit,ETH Lausanne,EPF,Lausanne,Editor,"Frontiers Publishers, Lausanne",Media & communication
148,Bernard,Thorens,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
149,Bernhard,Ehrenzeller,Uni St. Gallen,USG,Saint Gallen,Richter,Staatsgerichtshof des Fürstentums Liechtenstein,"Politics, administration, justice system & security sector"
150,Bernhard,Ehrenzeller,Uni St. Gallen,USG,Saint Gallen,Experte im Rahmen der Weiterentwicklung der schweizerischen Hochschul- und Bildungsgesetzgebung wie auch der Hochschulgesetzregelung,Kanton St.Gallen,"Politics, administration, justice system & security sector"
151,Bernhard,Ehrenzeller,Uni St. Gallen,USG,Saint Gallen,Korrespondierendes Mitglied der philosophisch-historischen Klasse im Ausland,Österreichische Akademie der Wissenschaften,Education & research
152,Bernhard,Ehrenzeller,Uni St. Gallen,USG,Saint Gallen,Mitglied des Stiftungsrats,Stiftung für Schweizerische Rechtspflege,"Politics, administration, justice system & security sector"
153,Bertrand,Perrin,Uni Freiburg,UFR,Fribourg,Rechtsberater,Selbstständig,Not classifiable
154,Bertrand,Perrin,Uni Freiburg,UFR,Fribourg,Ersatzmitglied für das Obergericht,Kanton Bern,"Politics, administration, justice system & security sector"
155,Bettina,Hürlimann-Kaup,Uni Freiburg,UFR,Fribourg,Justizrat,Kanton Freiburg,"Politics, administration, justice system & security sector"
156,Bettina,Kahil,Uni Lausanne,ULA,Lausanne,NA,Activités académiques,Education & research
157,Birgitt,Borkopp,Uni Bern,UBE,Bern,Mitglied des Dachstiftungsrates,Kunstmuseum Bern,"Society, Social, Culture & Sports"
158,Birgitt,Borkopp,Uni Bern,UBE,Bern,Mitglied des Stiftungsrates,Museum Schloss Thun,"Society, Social, Culture & Sports"
159,Björn,Rasch,Uni Basel,UBA,Basel,Betreuung von Studenten und Doktoranden,Universität Zürich,Education & research
160,Boi,Faltings,ETH Lausanne,EPF,Lausanne,Scientific Advisor / Consultant,"Prediggo SA, PSE, Ecublens",Technology
161,Boi,Faltings,ETH Lausanne,EPF,Lausanne,Scientific Advisor / Consultant,"Livelyplanet, SAS, Versailles, France",Technology
162,Boi,Faltings,ETH Lausanne,EPF,Lausanne,Scientific Advisor / Consultant,"Fairnez Inc., USA","Consulting, public relations, legal & trust"
163,Bradley,Nelson,ETH Zürich,ETH,Zurich,VR-Mandat,Aeon Scientific AG,Pharma & health
164,Bradley,Nelson,ETH Zürich,ETH,Zurich,VR-Mandat,Magnebotix AG,Technology
165,Bradley,Nelson,ETH Zürich,ETH,Zurich,VR-Mandat,Femtotools AG,"Industry, construction & agriculture"
166,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,Commission d'urbanisme et architecture,Commune de Prengins,"Politics, administration, justice system & security sector"
167,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,Commission d'urbanisme et d'architecture,Commune de Gland,"Politics, administration, justice system & security sector"
168,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,"Commission d'urbanisme, d'architecture et du Paysage",Commune de Payerne,"Politics, administration, justice system & security sector"
169,Bruno,Moretti,Uni Bern,UBE,Bern,NA,Forum du Bilinguisme Bienne,"Society, Social, Culture & Sports"
170,Bruno,Moretti,Uni Bern,UBE,Bern,NA,Jaberg-Stiftung,"Society, Social, Culture & Sports"
171,Bruno,Moretti,Uni Bern,UBE,Bern,NA,Stiftung Kinderbetreuung im Hochschulraum Bern KIHOB,"Society, Social, Culture & Sports"
172,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,Commission d'Urbanisme et Architecture,Canton de Fribourg,"Politics, administration, justice system & security sector"
173,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,Commission d'architecture et d'urbanisme,Commune de Pully,"Politics, administration, justice system & security sector"
174,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,Commission consultative d'urbanisme et d'architecture,Canton de Vaud,"Politics, administration, justice system & security sector"
175,Bruno,Marchand,ETH Lausanne,EPF,Lausanne,Bruno Marchand Architecture Urbanisme et aménagement du territoire,"Bruno Marchand, Lausanne",Not classifiable
176,Bruno,Gottstein,Uni Bern,UBE,Bern,NA,Jean-Pierre Miéville-Stiftung,Education & research
177,Carlotta,Guiducci,ETH Lausanne,EPF,Lausanne,"expertise examen doctorat, science de la vie",Uni de Bâle,Education & research
178,Cesla,Amarelle,Uni Neuenburg,UNE,Neuchâtel,Mandat,Nationalrat,"Politics, administration, justice system & security sector"
179,Christian,Leumann,Uni Bern,UBE,Bern,NA,Unitectra,"Consulting, public relations, legal & trust"
180,Christian,Leumann,Uni Bern,UBE,Bern,NA,Synthena AG,Pharma & health
181,Christian,Leumann,Uni Bern,UBE,Bern,NA,"Schweizerischer Nationalfonds, Stiftungsrat",Education & research
182,Christian,Jackowski,Uni Zürich,UZH,Zurich,NA,Schweizerische Stiftung für Alkoholforschung SSA,Pharma & health
183,Christian,Hesse,Uni Bern,UBE,Bern,NA,Dr. Josephine de Karman-Stiftung,Education & research
184,Christian,Leumann,Uni Bern,UBE,Bern,NA,Verein Euresearch,Education & research
185,Christian,Belz,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Starrag,"Industry, construction & agriculture"
186,Christian,Bochet,Uni Freiburg,UFR,Fribourg,Präsident,Atlas Photonics Sàrl,Technology
187,Christian,Bovet,Uni Genf,UGE,Geneva,Membre et Président du conseil,Fondation Professeur Walther Hug,Education & research
188,Christian,Bovet,Uni Genf,UGE,Geneva,Président du comité d'audit et membre du conseil d'adminstration,BPN Paribas (Suisse) SA,Financial industry & insurances
189,Christian,Enz,ETH Lausanne,EPF,Lausanne,Scientific Advisory Board: Cooperation CSEM-EPF,"CSEM, Neuchatel",Education & research
190,Christian,Heinis,ETH Lausanne,EPF,Lausanne,Co-founder and shareholder of the start-up’,"Bicycle Therapeutics, Cambridge, UK",Technology
191,Christian,Belz,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Création Baumann,"Industry, construction & agriculture"
192,Christian,Belz,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Olma Messen St. Gallen,"Industry, construction & agriculture"
193,Christian Gerhard,Wolfrum,ETH Zürich,ETH,Zurich,VR-Mandat,Glycemicon AG,Technology
194,Christian Pieter,Hoffmann,Uni St. Gallen,USG,Saint Gallen,Mitglied des Vorstands,Percipe GmbH,"Consulting, public relations, legal & trust"
195,Christian Pieter,Hoffmann,Uni St. Gallen,USG,Saint Gallen,"Mitglied des Beirats, Geschäftsberichte",HSG Symposium,Education & research
196,Christian Pieter,Hoffmann,Uni St. Gallen,USG,Saint Gallen,Lehrbeauftragter,Singapore Management University,Education & research
197,Christian Pieter,Hoffmann,Uni St. Gallen,USG,Saint Gallen,Lehrbeauftragter,Johannes Gutenberg-Universität Mainz,Education & research
198,Christian Pieter,Hoffmann,Uni St. Gallen,USG,Saint Gallen,Dozent,Hochschule für Wirtschaft Zürich,Education & research
199,Christina,Thurner,Uni Bern,UBE,Bern,NA,Schweizer Tanzarchiv,"Society, Social, Culture & Sports"
200,Christof,Holliger,ETH Lausanne,EPF,Lausanne,Membre du FNS Panel Sinergia,"FNS, Berne",Education & research
201,Christoph,Aebi,Uni Bern,UBE,Bern,NA,Bernische Stiftung für krebskranke Kinder und Jugendliche,Pharma & health
202,Christoph,Aebi,Uni Bern,UBE,Bern,NA,Ronald McDonald Stiftung,"Society, Social, Culture & Sports"
203,Christoph,Müller,Uni Bern,UBE,Bern,NA,Stiftung für klinisch-experimentelle Tumorforschung Bern,Education & research
204,Christoph,Heinrich,ETH Zürich,ETH,Zurich,Präsident,Paul Niggli-Stiftung,Education & research
205,Christoph,Lechner,Uni St. Gallen,USG,Saint Gallen,Mitglied des Verwaltungsrats,Helvetia AG,Financial industry & insurances
